Time_s,Layer_1_Temperature_C,Layer_2_Temperature_C,Layer_3_Temperature_C,Layer_4_Temperature_C,Layer_5_Temperature_C,Layer_6_Temperature_C,Layer_7_Temperature_C,Layer_8_Temperature_C,Layer_9_Temperature_C,Layer_10_Temperature_C
22842.62131,72.42820623,72.50919143,72.66464149,72.90041674,73.15867695,73.38321484,73.55223608,73.67073025,73.75340272,73.74486151
22864.23212,72.42279544,72.50210001,72.6517202,72.88257136,73.1401486,73.3673519,73.54005984,73.6617175,73.74655955,73.73816704
22885.84292,72.41738465,72.49500859,72.63879891,72.86472598,73.12162024,73.35148896,73.52788359,73.65270475,73.73971639,73.73147256
22907.45373,72.41197387,72.48791717,72.62587762,72.8468806,73.10309188,73.33562601,73.51570735,73.64369199,73.73287323,73.72477809
22929.06453,72.40656308,72.48082575,72.61295633,72.82903522,73.08456353,73.31976307,73.5035311,73.63467924,73.72603006,73.71808361
22950.67534,72.39913259,72.47381135,72.60311179,72.81502942,73.06803574,73.30340419,73.48923734,73.62308194,73.71688506,73.70911403
22972.28614,72.39114124,72.46681833,72.59412163,72.80208985,73.05206349,73.28690759,73.47435556,73.61076693,73.70710087,73.69951267
22993.89695,72.38314988,72.45982531,72.58513147,72.78915027,73.03609124,73.27041099,73.45947378,73.59845192,73.69731667,73.68991132
23015.50775,72.37515853,72.4528323,72.57614132,72.77621069,73.02011899,73.25391438,73.444592,73.58613691,73.68753247,73.68030996
23037.11856,72.36716718,72.44583928,72.56715116,72.76327112,73.00414674,73.23741778,73.42971022,73.57382191,73.67774827,73.67070861
23058.72936,72.35917583,72.43884627,72.558161,72.75033154,72.9881745,73.22092118,73.41482844,73.5615069,73.66796407,73.66110725
23080.34017,72.35118448,72.43185325,72.54917085,72.73739196,72.97220225,73.20442458,73.39994667,73.54919189,73.65817987,73.6515059
23101.95098,72.34319313,72.42486023,72.54018069,72.72445239,72.95623,73.18792798,73.38506489,73.53687688,73.64839567,73.64190454
23123.56178,72.33520177,72.41786722,72.53119053,72.71151281,72.94025775,73.17143138,73.37018311,73.52456187,73.63861147,73.63230319
23145.17259,72.32721042,72.4108742,72.52220038,72.69857323,72.9242855,73.15493478,73.35530133,73.51224687,73.62882727,73.62270183
23166.78339,72.31921907,72.40388119,72.51321022,72.68563366,72.90831325,73.13843817,73.34041955,73.49993186,73.61904307,73.61310047
23188.3942,72.31122772,72.39688817,72.50422007,72.67269408,72.89234101,73.12194157,73.32553777,73.48761685,73.60925887,73.60349912
23210.005,72.30323637,72.38989515,72.49522991,72.6597545,72.87636876,73.10544497,73.31065599,73.47530184,73.59947467,73.59389776
23231.61581,72.29524502,72.38290214,72.48623975,72.64681493,72.86039651,73.08894837,73.29577421,73.46298684,73.58969047,73.58429641
23253.22661,72.28725366,72.37590912,72.4772496,72.63387535,72.84442426,73.07245177,73.28089243,73.45067183,73.57990628,73.57469505
23274.83742,72.27926231,72.36891611,72.46825944,72.62093577,72.82845201,73.05595517,73.26601065,73.43835682,73.57012208,73.5650937
23296.44822,72.27127096,72.36192309,72.45926928,72.6079962,72.81247976,73.03945856,73.25112887,73.42604181,73.56033788,73.55549234
23318.05903,72.26327961,72.35493007,72.45027913,72.59505662,72.79650751,73.02296196,73.23624709,73.4137268,73.55055368,73.54589099
23339.66983,72.25528826,72.34793706,72.44128897,72.58211704,72.78053527,73.00646536,73.22136532,73.4014118,73.54076948,73.53628963
23361.28064,72.24729691,72.34094404,72.43229881,72.56917747,72.76456302,72.98996876,73.20648354,73.38909679,73.53098528,73.52668827
23382.89145,72.23930556,72.33395102,72.42330866,72.55623789,72.74859077,72.97347216,73.19160176,73.37678178,73.52120108,73.51708692
23404.50225,72.2296886,72.32578262,72.41461786,72.5450592,72.73468375,72.95818004,73.17665016,73.36338255,73.50983171,73.50592659
23426.11306,72.21854162,72.31650795,72.40620881,72.53553787,72.72272053,72.94402159,73.16163285,73.34896283,73.49697037,73.49329897
23447.72386,72.20739464,72.30723327,72.39779977,72.52601653,72.71075732,72.92986314,73.14661554,73.33454312,73.48410904,73.48067134
23469.33467,72.19624766,72.2979586,72.38939072,72.51649519,72.6987941,72.91570468,73.13159823,73.32012341,73.4712477,73.46804371
23490.94547,72.18510068,72.28868392,72.38098168,72.50697385,72.68683088,72.90154623,73.11658091,73.30570369,73.45838636,73.45541608
23512.55628,72.1739537,72.27940924,72.37257263,72.49745252,72.67486766,72.88738778,73.1015636,73.29128398,73.44552502,73.44278845
23534.16708,72.16280673,72.27013457,72.36416359,72.48793118,72.66290444,72.87322932,73.08654629,73.27686427,73.43266369,73.43016082
23555.77789,72.15165975,72.26085989,72.35575454,72.47840984,72.65094123,72.85907087,73.07152898,73.26244455,73.41980235,73.41753319
